Strata,Waypoint,Segment,Latitude,Longitude,Old VCF,New VCF (2019),Comment
Sacramento Valley,1,1,40.042833,-122.085000,No,No,N of Los Molinos
Sacramento Valley,2,1,39.854167,-122.318500,No,No,to Black Butte Res.
Sacramento Valley,3,2,39.687500,-122.242333,No,No,SW of Orland
Sacramento Valley,4,2,39.876167,-122.009500,No,No,to NW of Chico(RR)
Sacramento Valley,5,3,39.718667,-121.918833,No,No,W of Chico
Sacramento Valley,6,3,39.530000,-122.151167,No,No,to NE Willows
Sacramento Valley,7,4,39.229167,-122.259000,Yes,Yes,SW of Maxwell
Sacramento Valley,8,5,39.418667,-122.028667,Yes,Yes,to N of Princeton
Sacramento Valley,9,5,39.608667,-121.798500,No,No,to S of Durham(RR)
Sacramento Valley,10,6,39.487833,-121.656167,Yes,Yes,Thermalito
Sacramento Valley,11,7,39.298667,-121.886833,Yes,Yes,to N of Sutter Butte
Sacramento Valley,12,7,39.108333,-122.115833,No,No,to SE of Williams(I-5)
Sacramento Valley,13,8,38.958833,-122.015833,Yes,Yes,SW of College City
Sacramento Valley,14,9,39.147667,-121.785500,Yes,Yes,to Sutter
Sacramento Valley,15,9,39.336333,-121.554333,No,No,to NW of Honcut
Sacramento Valley,16,10,39.017833,-121.676167,Yes,Yes,SW of Yuba City
Sacramento Valley,17,10,38.829167,-121.906167,Yes,Yes,to N of Zamora
Sacramento Valley,18,11,38.625000,-121.875833,No,No,SW of Woodland
Sacramento Valley,19,12,38.816167,-121.649500,Yes,Yes,to N of Verona
Sacramento Valley,20,12,39.006500,-121.422167,Yes,Yes,to SE of Wheatland
Sacramento Valley,21,13,38.812167,-121.343833,No,No,N of Roseville
Sacramento Valley,22,14,38.623500,-121.573167,Yes,Yes,to SW of Natomas
Sacramento Valley,23,14,38.434833,-121.802000,Yes,Yes,to Dixon
Sacramento Valley,24,15,38.272167,-121.728333,No,No,SW Sacramento
Sacramento Valley,25,15,38.460833,-121.500000,No,No,to Freeport
Sacramento Valley,26,16,38.526329,-121.127987,Yes,Yes,
Sacramento Valley,27,16,38.337662,-121.356486,Yes,Yes,
Delta,28,17,38.187167,-121.681667,No,No,N of Rio Vista
Delta,29,17,38.375833,-121.453667,No,No,to Franklin Blvd.
Delta,30,18,38.245500,-121.431167,No,No,N of Thornton
Delta,31,18,38.056833,-121.658833,No,No,to W of Franks Tract
Delta,32,19,37.943833,-121.621833,Yes,Yes,E of Brentwood
Delta,33,19,38.132500,-121.394500,Yes,Yes,to W of Woodbridge(RR)
Delta,34,20,38.013000,-121.358833,No,No,Wright Tract
Delta,35,20,37.824333,-121.585667,No,No,to SE of Byron(RR)
San Joaquin Grasslands,36,21,37.734333,-121.539667,No,No,Bethany
San Joaquin Grasslands,37,21,37.923000,-121.313000,No,No,to Stockton
