"path","relative_path","file_name","extension","size_kb","modified","year","category"
"data-raw/cinnamon-teal/dmp000455_data/2011 ca_bpop_rep1.docx","2011 ca_bpop_rep1.docx","2011 ca_bpop_rep1.docx","docx",21,2023-05-09,"2011","Annual population report (CA breeding waterfowl)"
"data-raw/cinnamon-teal/dmp000455_data/2011 ca_bpop_rpt2.doc.docx","2011 ca_bpop_rpt2.doc.docx","2011 ca_bpop_rpt2.doc.docx","docx",17.6,2023-05-09,"2011","Annual population report (CA breeding waterfowl)"
"data-raw/cinnamon-teal/dmp000455_data/2012 ca_bpop_rep1.txt","2012 ca_bpop_rep1.txt","2012 ca_bpop_rep1.txt","txt",15.5,2023-05-09,"2012","Annual population report (CA breeding waterfowl)"
"data-raw/cinnamon-teal/dmp000455_data/2012 ca_bpop_rpt2.txt","2012 ca_bpop_rpt2.txt","2012 ca_bpop_rpt2.txt","txt",3.8,2023-05-09,"2012","Annual population report (CA breeding waterfowl)"
"data-raw/cinnamon-teal/dmp000455_data/2013 ca_bpop_rep1.docx","2013 ca_bpop_rep1.docx","2013 ca_bpop_rep1.docx","docx",25.7,2023-05-09,"2013","Annual population report (CA breeding waterfowl)"
"data-raw/cinnamon-teal/dmp000455_data/2013 ca_bpop_rpt2.docx","2013 ca_bpop_rpt2.docx","2013 ca_bpop_rpt2.docx","docx",21.2,2023-05-09,"2013","Annual population report (CA breeding waterfowl)"
"data-raw/cinnamon-teal/dmp000455_data/2014 ca_bpop_rep1.docx","2014 ca_bpop_rep1.docx","2014 ca_bpop_rep1.docx","docx",25.1,2023-05-09,"2014","Annual population report (CA breeding waterfowl)"
"data-raw/cinnamon-teal/dmp000455_data/2014 ca_bpop_rpt2.docx","2014 ca_bpop_rpt2.docx","2014 ca_bpop_rpt2.docx","docx",20.7,2023-05-09,"2014","Annual population report (CA breeding waterfowl)"
"data-raw/cinnamon-teal/dmp000455_data/2015 ca_bpop_rep1.docx","2015 ca_bpop_rep1.docx","2015 ca_bpop_rep1.docx","docx",25,2023-05-09,"2015","Annual population report (CA breeding waterfowl)"
"data-raw/cinnamon-teal/dmp000455_data/2015 ca_bpop_rpt2.docx","2015 ca_bpop_rpt2.docx","2015 ca_bpop_rpt2.docx","docx",20.7,2023-05-09,"2015","Annual population report (CA breeding waterfowl)"
"data-raw/cinnamon-teal/dmp000455_data/2022 CA BPS Report Final.pdf","2022 CA BPS Report Final.pdf","2022 CA BPS Report Final.pdf","pdf",520.7,2023-05-09,"2022","BPS annual report (PDF)"
"data-raw/cinnamon-teal/dmp000455_data/91POPEST report.xls","91POPEST report.xls","91POPEST report.xls","xls",44.5,2023-05-09,NA,"Population estimate report"
"data-raw/cinnamon-teal/dmp000455_data/92POPEST report.xls","92POPEST report.xls","92POPEST report.xls","xls",69,2023-05-09,NA,"Population estimate report"
"data-raw/cinnamon-teal/dmp000455_data/BPS annual report 2017 Final.pdf","BPS annual report 2017 Final.pdf","BPS annual report 2017 Final.pdf","pdf",508.9,2023-05-09,"2017","BPS annual report (PDF)"
"data-raw/cinnamon-teal/dmp000455_data/BPS annual report 2018 Final.pdf","BPS annual report 2018 Final.pdf","BPS annual report 2018 Final.pdf","pdf",689.8,2023-05-09,"2018","BPS annual report (PDF)"
"data-raw/cinnamon-teal/dmp000455_data/BPS annual report 2019  Final.pdf","BPS annual report 2019  Final.pdf","BPS annual report 2019  Final.pdf","pdf",1302.6,2023-05-09,"2019","BPS annual report (PDF)"
"data-raw/cinnamon-teal/dmp000455_data/ca-po2010.doc","ca-po2010.doc","ca-po2010.doc","doc",57.5,2023-05-09,"2010","Annual population report (CA breeding waterfowl)"
"data-raw/cinnamon-teal/dmp000455_data/ca-pop_2009.doc","ca-pop_2009.doc","ca-pop_2009.doc","doc",60.5,2023-05-09,"2009","Annual population report (CA breeding waterfowl)"
"data-raw/cinnamon-teal/dmp000455_data/ca-pop2003.doc","ca-pop2003.doc","ca-pop2003.doc","doc",55,2023-05-09,"2003","Annual population report (CA breeding waterfowl)"
"data-raw/cinnamon-teal/dmp000455_data/ca-pop2004.doc","ca-pop2004.doc","ca-pop2004.doc","doc",68.5,2023-05-09,"2004","Annual population report (CA breeding waterfowl)"
"data-raw/cinnamon-teal/dmp000455_data/ca-pop2005.doc","ca-pop2005.doc","ca-pop2005.doc","doc",54,2023-05-09,"2005","Annual population report (CA breeding waterfowl)"
"data-raw/cinnamon-teal/dmp000455_data/ca-pop2006.doc","ca-pop2006.doc","ca-pop2006.doc","doc",54,2023-05-09,"2006","Annual population report (CA breeding waterfowl)"
"data-raw/cinnamon-teal/dmp000455_data/ca-pop2007.doc","ca-pop2007.doc","ca-pop2007.doc","doc",55.5,2023-05-09,"2007","Annual population report (CA breeding waterfowl)"
"data-raw/cinnamon-teal/dmp000455_data/ca-pop2008.doc","ca-pop2008.doc","ca-pop2008.doc","doc",58,2023-05-09,"2008","Annual population report (CA breeding waterfowl)"
"data-raw/cinnamon-teal/dmp000455_data/California Breeding Waterfowl Survey GIS info for Air Services/California Breeding Waterfowl Survey GIS info for Air Services/California Breeding Waterfowl Survey All Segments.kml","California Breeding Waterfowl Survey GIS info for Air Services/California Breeding Waterfowl Survey GIS info for Air Services/California Breeding Waterfowl Survey All Segments.kml","California Breeding Waterfowl Survey All Segments.kml","kml",179.1,2023-05-22,NA,"GIS data (flight segments/waypoints)"
"data-raw/cinnamon-teal/dmp000455_data/California Breeding Waterfowl Survey GIS info for Air Services/California Breeding Waterfowl Survey GIS info for Air Services/California Breeding Waterfowl Survey All Waypoints.kml","California Breeding Waterfowl Survey GIS info for Air Services/California Breeding Waterfowl Survey GIS info for Air Services/California Breeding Waterfowl Survey All Waypoints.kml","California Breeding Waterfowl Survey All Waypoints.kml","kml",250.3,2023-05-22,NA,"GIS data (flight segments/waypoints)"
"data-raw/cinnamon-teal/dmp000455_data/California Breeding Waterfowl Survey GIS info for Air Services/California Breeding Waterfowl Survey GIS info for Air Services/California Breeding Waterfowl Survey Helicopter Segments 2019.kml","California Breeding Waterfowl Survey GIS info for Air Services/California Breeding Waterfowl Survey GIS info for Air Services/California Breeding Waterfowl Survey Helicopter Segments 2019.kml","California Breeding Waterfowl Survey Helicopter Segments 2019.kml","kml",47.5,2023-05-22,"2019","GIS data (flight segments/waypoints)"
"data-raw/cinnamon-teal/dmp000455_data/California Breeding Waterfowl Survey GIS info for Air Services/California Breeding Waterfowl Survey GIS info for Air Services/California Breeding Waterfowl Survey Helicopter Waypoints 2019.kml","California Breeding Waterfowl Survey GIS info for Air Services/California Breeding Waterfowl Survey GIS info for Air Services/California Breeding Waterfowl Survey Helicopter Waypoints 2019.kml","California Breeding Waterfowl Survey Helicopter Waypoints 2019.kml","kml",51.3,2023-05-22,"2019","GIS data (flight segments/waypoints)"
"data-raw/cinnamon-teal/dmp000455_data/California Breeding Waterfowl Survey GIS info for Air Services/California Breeding Waterfowl Survey GIS info for Air Services/California Breeding Waterfowl Survey Waypoints For Helicopter.csv","California Breeding Waterfowl Survey GIS info for Air Services/California Breeding Waterfowl Survey GIS info for Air Services/California Breeding Waterfowl Survey Waypoints For Helicopter.csv","California Breeding Waterfowl Survey Waypoints For Helicopter.csv","csv",3.1,2023-05-22,NA,"GIS data (flight segments/waypoints)"
"data-raw/cinnamon-teal/dmp000455_data/California Breeding Waterfowl Survey GIS info for Air Services/California Breeding Waterfowl Survey GIS info for Air Services/California Breeding Waterfowl Survey Waypoints For Plane.csv","California Breeding Waterfowl Survey GIS info for Air Services/California Breeding Waterfowl Survey GIS info for Air Services/California Breeding Waterfowl Survey Waypoints For Plane.csv","California Breeding Waterfowl Survey Waypoints For Plane.csv","csv",12.5,2023-05-22,NA,"GIS data (flight segments/waypoints)"
"data-raw/cinnamon-teal/dmp000455_data/California Breeding Waterfowl Survey GIS info for Air Services/California Breeding Waterfowl Survey GIS info for Air Services/California Breeding Waterfowl Survey Waypoints.xlsx","California Breeding Waterfowl Survey GIS info for Air Services/California Breeding Waterfowl Survey GIS info for Air Services/California Breeding Waterfowl Survey Waypoints.xlsx","California Breeding Waterfowl Survey Waypoints.xlsx","xlsx",25,2023-05-22,NA,"GIS data (flight segments/waypoints)"
"data-raw/cinnamon-teal/dmp000455_data/CDFW BPS annual report 2016 Final.pdf","CDFW BPS annual report 2016 Final.pdf","CDFW BPS annual report 2016 Final.pdf","pdf",463.7,2023-05-09,"2016","BPS annual report (PDF)"
"data-raw/cinnamon-teal/dmp000455_data/CDFW BPS Data Summary Guidelines.doc","CDFW BPS Data Summary Guidelines.doc","CDFW BPS Data Summary Guidelines.doc","doc",37.5,2023-05-09,NA,"Program guidelines/methodology doc"
"data-raw/cinnamon-teal/dmp000455_data/CDFW Species Guidelines.docx","CDFW Species Guidelines.docx","CDFW Species Guidelines.docx","docx",23.1,2023-05-09,NA,"Program guidelines/methodology doc"
"data-raw/cinnamon-teal/dmp000455_data/MAPS_CA BPOP_Updated 2019/MAPS_CA BPOP_Updated 2019/Fixed Wing Maps_Updated 2019/Alturas v2019.jpg","MAPS_CA BPOP_Updated 2019/MAPS_CA BPOP_Updated 2019/Fixed Wing Maps_Updated 2019/Alturas v2019.jpg","Alturas v2019.jpg","jpg",192.4,2023-05-22,"2019","Survey area maps (images)"
"data-raw/cinnamon-teal/dmp000455_data/MAPS_CA BPOP_Updated 2019/MAPS_CA BPOP_Updated 2019/Fixed Wing Maps_Updated 2019/Fall River Mills to Adin v2019.jpg","MAPS_CA BPOP_Updated 2019/MAPS_CA BPOP_Updated 2019/Fixed Wing Maps_Updated 2019/Fall River Mills to Adin v2019.jpg","Fall River Mills to Adin v2019.jpg","jpg",134.5,2023-05-22,"2019","Survey area maps (images)"
"data-raw/cinnamon-teal/dmp000455_data/MAPS_CA BPOP_Updated 2019/MAPS_CA BPOP_Updated 2019/Fixed Wing Maps_Updated 2019/Friday Napa Santa Rosa.jpg","MAPS_CA BPOP_Updated 2019/MAPS_CA BPOP_Updated 2019/Fixed Wing Maps_Updated 2019/Friday Napa Santa Rosa.jpg","Friday Napa Santa Rosa.jpg","jpg",129.3,2023-05-22,NA,"Survey area maps (images)"
"data-raw/cinnamon-teal/dmp000455_data/MAPS_CA BPOP_Updated 2019/MAPS_CA BPOP_Updated 2019/Fixed Wing Maps_Updated 2019/Friday Suisun Marsh.jpg","MAPS_CA BPOP_Updated 2019/MAPS_CA BPOP_Updated 2019/Fixed Wing Maps_Updated 2019/Friday Suisun Marsh.jpg","Friday Suisun Marsh.jpg","jpg",154.1,2023-05-22,NA,"Survey area maps (images)"
