Field,Value
Title,Waterfowl Breeding Population - California - 1992-2022
URL,waterfowl-breeding-population-california-1992-2022
Description,"The Waterfowl Program annually monitors the waterfowl breeding population in California for conservation and to establish hunting frameworks within the Pacific Flyway, 1992-2022.

Data are collected from both a fixed-wing and helicopter with 2 observers in each. The survey is conducted about the third week in April in the Central Valley and second week in May in NE CA. The state is divided into 9 strata for sampling with transects/segments in each stratum. Species, sex, and breeding status collected.  Survey has been conducted since 1955 however a revised survey was developed in 1992 and continues annually. The project is funded by Pittman-Roberston Grant and State Duck Stamp funds.

This data and metadata were submitted by California Department of Fish and Wildlife (CDFW) Staff though the Data Management Plan (DMP) framework with the id: DMP000455. For more information, please visit https://wildlife.ca.gov/Data/Sci-Data."
Tags,"CA waterfowl breeding population,Central Valley,DMP,Northeastern CA,Pacific Flyway,california department of fish and wildlife,western mallard model"
License,cc-by
Topics,"COVID-19,Natural Resources"
Organization,California Department of Fish and Wildlife
Public Access Level,Public
Rights,No restrictions on public use
Program Contact Name,"Melanie Weaver, Waterfowl Program Coordinator"
Program Contact Email,melanie.weaver@wildlife.ca.gov
Author,
Homepage URL,
Frequency,Irregular
Temporal Coverage,2020 and 2021 survey not performed due to Covid-19.
Granularity,
Geographic Coverage Location,
Spatial,
Data Standard,
Language,
Source Link,https://wildlife.ca.gov/Conservation/Birds/Waterfowl
Additional Information,
Related Resources,
Secondary Sources,
Citation,
