"state_name","species_code","common_name","scientific_name","percent_pop_breeding","percent_pop_postbreeding_migration","percent_pop_nonbreeding","percent_pop_prebreeding_migration","max_week_season","max_week","max_week_percent_pop","state_rank_breeding","breeding_habitat_primary","breeding_habitat_secondary"
"California","abetow","Abert's Towhee","Melozone aberti",6.26,6.26,6.26,6.26,"resident","year round resident",NA,"2 of 5","Aridlands:  Desert Riparian","Aridlands:  Desert Scrub"
"California","acowoo","Acorn Woodpecker","Melanerpes formicivorus",37.9,37.9,37.9,37.9,"resident","year round resident",NA,"1 of 5","Forests:  Mesoamerican Pine-Oak","Forests:  Temperate Western"
"California","allhum","Allen's Hummingbird","Selasphorus sasin",99.5,99.47,99.66,99.88,"nonbreeding","10-11",99.96,"1 of 2","Aridlands:  Chaparral",NA
"California","ameavo","American Avocet","Recurvirostra americana",6.07,5.67,8.75,7.55,"prebreeding_migration","03-08",24.37,"2 of 22","Wetlands:  Freshwater Marsh",NA
"California","amebit","American Bittern","Botaurus lentiginosus",0.61,2.78,7.19,1.37,"prebreeding_migration","04-05",35.5,"9 of 26","Wetlands:  Freshwater Marsh",NA
"California","amecro","American Crow","Corvus brachyrhynchos",2.29,2.28,2.85,1.6,"nonbreeding","12-20",3.371,"9 of 49","Open Country:  Habitat Mosaic","Open Country:  Developed/Disturbed"
"California","amedip","American Dipper","Cinclus mexicanus",4.99,4.99,4.99,4.99,"resident","year round resident",NA,"7 of 13","Wetlands:  Lakes and Rivers",NA
"California","amegfi","American Goldfinch","Spinus tristis",0.49,0.91,0.72,0.89,"postbreeding_migration","10-25",1.433,"37 of 45","Open Country:  Habitat Mosaic",NA
"California","amekes","American Kestrel","Falco sparverius",2.2,2.31,2.55,1.74,"nonbreeding","12-20",2.977,"1 of 44","Open Country:  Habitat Mosaic",NA
"California","amepip","American Pipit","Anthus rubescens",0.07,1.32,16.72,1.65,"prebreeding_migration","02-15",20.75,"7 of 9","Tundra:  Alpine","Tundra:  Arctic"
"California","amerob","American Robin","Turdus migratorius",1.14,2.12,5.6,1.58,"nonbreeding","12-27",6.413,"21 of 48","Forests:  Temperate Generalist",NA
"California","amewig","American Wigeon","Mareca americana",0.03,4.7,21.55,5.55,"prebreeding_migration","02-08",24.35,"13 of 16","Wetlands:  Seasonally Wet Grasslands","Wetlands:  Freshwater Marsh"
"California","amwpel","American White Pelican","Pelecanus erythrorhynchos",4.1,3.61,3.62,3.28,"postbreeding_migration","08-23",5.171,"6 of 32","Wetlands:  Lakes and Rivers",NA
"California","annhum","Anna's Hummingbird","Calypte anna",68.62,65.34,71.43,67.14,"nonbreeding","08-09",73.53,"1 of 6","Aridlands:  Chaparral","Forests:  Temperate Western"
"California","arcter","Arctic Tern","Sterna paradisaea",0,0.03,0,0,"postbreeding_migration","09-20",0.7811,NA,"Wetlands:  Tundra","Forests:  Boreal"
"California","astfly","Ash-throated Flycatcher","Myiarchus cinerascens",13.71,9.79,0.63,11.2,"postbreeding_migration","08-02",16.4,"2 of 12","Aridlands:  Desert Scrub","Forests:  Temperate Western"
"California","baisan","Baird's Sandpiper","Calidris bairdii",0,0.03,0,0,"postbreeding_migration","08-30",0.2175,NA,"Tundra:  Arctic",NA
"California","baleag","Bald Eagle","Haliaeetus leucocephalus",0.26,0.2,1.13,0.46,"prebreeding_migration","02-15",1.617,"11 of 47","Wetlands:  Generalist","Coasts:  Beach and Estuary"
"California","banswa","Bank Swallow","Riparia riparia",0.02,0.01,0,0.01,"postbreeding_migration","07-12",0.05731,"22 of 28","Wetlands Aerial:  Lakes and Rivers","Open Country Aerial:  Habitat Mosaic"
"California","bargol","Barrow's Goldeneye","Bucephala islandica",0,0.01,0.03,0,"nonbreeding","01-25",0.03824,NA,"Wetlands:  Forested","Wetlands:  Lakes and Rivers"
"California","barswa","Barn Swallow","Hirundo rustica",0.17,0.09,0,0.06,"breeding","06-21",0.1893,"26 of 49","Open Country Aerial:  Habitat Mosaic",NA
"California","batpig1","Band-tailed Pigeon","Patagioenas fasciata",11.09,27.54,38.81,23.72,"nonbreeding","12-27",47.76,"1 of 9","Forests:  Temperate Western","Forests:  Mesoamerican Highland"
"California","bcnher","Black-crowned Night Heron","Nycticorax nycticorax",0.43,0.36,0.73,0.43,"nonbreeding","12-27",1.079,"3 of 33","Wetlands:  Generalist","Coasts:  Saltmarsh"
"California","belkin1","Belted Kingfisher","Megaceryle alcyon",1.06,1.51,2.68,1.13,"nonbreeding","12-13",2.817,"11 of 48","Wetlands:  Generalist",NA
"California","belspa2","Bell's Sparrow","Artemisiospiza belli",94.11,0,89.7,0,"unidentified","08-09",99.09,"1 of 2","Aridlands:  Chaparral",NA
"California","belvir","Bell's Vireo","Vireo bellii",1.07,0.34,0,0.95,"breeding","06-28",1.481,"10 of 20","Aridlands:  Desert Riparian","Forests:  Temperate Eastern"
"California","benthr","Bendire's Thrasher","Toxostoma bendirei",0.44,0,0,1.24,"breeding","06-07",6.135,"3 of 3","Aridlands:  Desert Scrub",NA
"California","bewwre","Bewick's Wren","Thryomanes bewickii",11.41,0,12.4,0,"nonbreeding","02-01",15.6,"2 of 13","Aridlands:  Desert Scrub","Forests:  Temperate Western"
"California","bkbmag1","Black-billed Magpie","Pica hudsonia",0.61,0.61,0.61,0.61,"resident","year round resident",NA,"12 of 17","Open Country:  Habitat Mosaic",NA
"California","bkbplo","Black-bellied Plover","Pluvialis squatarola",0.71,2.14,3.31,1.09,"postbreeding_migration","07-26",7.016,"4 of 17","Wetlands:  Tundra","Tundra:  Arctic"
"California","bkbwoo","Black-backed Woodpecker","Picoides arcticus",0.74,0.74,0.74,0.74,"resident","year round resident",NA,"3 of 15","Forests:  Boreal","Forests:  Temperate Western"
"California","bkcchi","Black-capped Chickadee","Poecile atricapillus",0.01,0.01,0.01,0.01,"resident","year round resident",NA,"35 of 35","Forests:  Temperate Generalist",NA
