"state_name","species_code","common_name","scientific_name","trend_period","season_code","state_trend_median","state_trend_lowerci","state_trend_upperci","rangewide_trend_median","rangewide_trend_lowerci","rangewide_trend_upperci","breeding_habitat_primary","breeding_habitat_secondary"
"California","abetow","Abert's Towhee","Melozone aberti","2012-2022","year_round",0.599,-9.61,5.93,10.5,4.32,15.5,"Aridlands:  Desert Riparian","Aridlands:  Desert Scrub"
"California","acowoo","Acorn Woodpecker","Melanerpes formicivorus","2012-2022","year_round",8.56,6.06,10.9,13.4,10,17,"Forests:  Mesoamerican Pine-Oak","Forests:  Temperate Western"
"California","allhum","Allen's Hummingbird","Selasphorus sasin","2012-2022","breeding",-2.61,-7.27,3.43,-2.38,-7.1,3.67,"Aridlands:  Chaparral",NA
"California","ameavo","American Avocet","Recurvirostra americana","2012-2022","breeding",-17.5,-24.6,-12.6,-2.16,-7.79,3.51,"Wetlands:  Freshwater Marsh",NA
"California","amebit","American Bittern","Botaurus lentiginosus","2012-2022","breeding",-33.3,-43.2,-20.9,-32.4,-34.9,-22,"Wetlands:  Freshwater Marsh",NA
"California","amecro","American Crow","Corvus brachyrhynchos","2012-2022","breeding",-10.8,-15.5,-5.38,-10.1,-11.8,-8.42,"Open Country:  Habitat Mosaic","Open Country:  Developed/Disturbed"
"California","amedip","American Dipper","Cinclus mexicanus","2012-2022","year_round",-1.43,-9.52,12.6,-4.23,-11.7,7.92,"Wetlands:  Lakes and Rivers",NA
"California","amegfi","American Goldfinch","Spinus tristis","2012-2022","breeding",-31.5,-36,-25.1,-12.1,-14.1,-10.5,"Open Country:  Habitat Mosaic",NA
"California","amekes","American Kestrel","Falco sparverius","2012-2022","breeding",-16.9,-26.3,-11.6,-20.3,-25,-14.5,"Open Country:  Habitat Mosaic",NA
"California","amepip","American Pipit","Anthus rubescens","2012-2022","nonbreeding",5.68,-1.08,14.3,-19.2,-21.8,-16.1,"Tundra:  Alpine","Tundra:  Arctic"
"California","amered","American Redstart","Setophaga ruticilla","2012-2022","breeding",25.1,3.49,38.4,6.15,3.89,8.6,"Forests:  Temperate Generalist",NA
"California","amerob","American Robin","Turdus migratorius","2012-2022","breeding",-2.01,-6.01,1.27,-4.16,-6.56,-1.83,"Forests:  Temperate Generalist",NA
"California","amewig","American Wigeon","Mareca americana","2012-2022","nonbreeding",-7,-12,-1.79,-14.6,-17.1,-11.7,"Wetlands:  Seasonally Wet Grasslands","Wetlands:  Freshwater Marsh"
"California","amtspa","American Tree Sparrow","Spizelloides arborea","2012-2022","nonbreeding",-19.5,-29.4,-5.8,-26.7,-31.5,-23.6,"Tundra:  Arctic","Forests:  Boreal"
"California","amwpel","American White Pelican","Pelecanus erythrorhynchos","2012-2022","breeding",-5.38,-12.9,-0.687,4.79,-0.0718,10.1,"Wetlands:  Lakes and Rivers",NA
"California","annhum","Anna's Hummingbird","Calypte anna","2012-2022","breeding",3.61,0.575,7.1,10.5,7.3,14.5,"Aridlands:  Chaparral","Forests:  Temperate Western"
"California","astfly","Ash-throated Flycatcher","Myiarchus cinerascens","2012-2022","breeding",13.1,10.2,16.2,14.6,10.1,18.6,"Aridlands:  Desert Scrub","Forests:  Temperate Western"
"California","baleag","Bald Eagle","Haliaeetus leucocephalus","2012-2022","breeding",59.6,51,77.6,8.19,1.67,16.5,"Wetlands:  Generalist","Coasts:  Beach and Estuary"
"California","balori","Baltimore Oriole","Icterus galbula","2012-2022","breeding",-13.2,-29.9,5.65,12.1,8.58,14.4,"Forests:  Temperate Eastern",NA
"California","banswa","Bank Swallow","Riparia riparia","2012-2022","breeding",-25.2,-31.4,-19.2,-2.82,-8.47,1.1,"Wetlands Aerial:  Lakes and Rivers","Open Country Aerial:  Habitat Mosaic"
"California","bargol","Barrow's Goldeneye","Bucephala islandica","2012-2022","nonbreeding",-12.1,-17.2,-5.47,10.3,1.27,19.6,"Wetlands:  Forested","Wetlands:  Lakes and Rivers"
"California","barswa","Barn Swallow","Hirundo rustica","2012-2022","breeding",-13.6,-16,-10.6,-15.6,-18.2,-12.7,"Open Country Aerial:  Habitat Mosaic",NA
"California","batpig1","Band-tailed Pigeon","Patagioenas fasciata","2012-2022","breeding",4.04,-0.843,9.24,13.9,8.47,20,"Forests:  Temperate Western","Forests:  Mesoamerican Highland"
"California","bcnher","Black-crowned Night Heron","Nycticorax nycticorax","2012-2022","breeding",-30.4,-38.5,-27.4,-20.9,-24.9,-17.3,"Wetlands:  Generalist","Coasts:  Saltmarsh"
"California","belkin1","Belted Kingfisher","Megaceryle alcyon","2012-2022","breeding",-5.26,-13.9,14.6,-3.35,-16.2,0.971,"Wetlands:  Generalist",NA
"California","belspa2","Bell's Sparrow","Artemisiospiza belli","2012-2022","breeding",23.4,16.5,31.1,21.4,15.1,28.1,"Aridlands:  Chaparral",NA
"California","belvir","Bell's Vireo","Vireo bellii","2012-2022","breeding",25.3,6.61,40.2,19.8,16.2,23.5,"Aridlands:  Desert Riparian","Forests:  Temperate Eastern"
"California","bewwre","Bewick's Wren","Thryomanes bewickii","2012-2022","breeding",-20.1,-22.8,-17.2,-9.82,-15.1,-7.89,"Aridlands:  Desert Scrub","Forests:  Temperate Western"
