Date,Species,Count,Life Stage,Sex,Township,Range,Section,Project
3/22/2016,Rana pretiosa,14,egg mass,unknown,21S,10E,23,Breeding
3/29/2016,Rana pretiosa,6,egg mass,unknown,21S,10E,12,Breeding
3/31/2016,Rana pretiosa,3,egg mass,unknown,24S,09E,4,Breeding
4/4/2016,Rana pretiosa,1,egg mass,unknown,21S,10E,23,Breeding
4/5/2016,Rana pretiosa,6,egg mass,unknown,21S,10E,1,Breeding
4/5/2016,Rana pretiosa,5,egg mass,unknown,21S,10E,10,Breeding
4/6/2016,Rana pretiosa,15,egg mass,unknown,19S,11E,8,Breeding
4/6/2016,Rana pretiosa,6,egg mass,unknown,22S,09E,4,Breeding
4/6/2016,Rana pretiosa,29,egg mass,unknown,22S,09E,5,Breeding
4/12/2016,Rana pretiosa,1,egg mass,unknown,20S,11E,19,Breeding
4/12/2016,Rana pretiosa,3,egg mass,unknown,22S,10E,10,Breeding
4/13/2016,Rana pretiosa,4,adult,male,19S,11E,8,Apex
4/13/2016,Rana pretiosa,2,egg mass,unknown,19S,11E,8,Breeding
4/13/2016,Rana pretiosa,9,egg mass,unknown,21S,10E,12,Breeding
4/13/2016,Rana pretiosa,3,juvenile,unknown,19S,11E,8,Apex
4/14/2016,Rana pretiosa,2,egg mass,unknown,21S,10E,3,Breeding
4/14/2016,Rana pretiosa,39,egg mass,unknown,21S,10E,10,Breeding
4/14/2016,Rana pretiosa,1,juvenile,unknown,21S,10E,9,Apex
4/18/2016,Rana pretiosa,1,adult,male,21S,10E,10,Apex
4/18/2016,Rana pretiosa,4,egg mass,unknown,21S,10E,10,Breeding
4/20/2016,Rana pretiosa,1,egg mass,unknown,19S,11E,8,Breeding
4/20/2016,Rana pretiosa,1,egg mass,unknown,19S,11E,9,Breeding
4/20/2016,Rana pretiosa,4,juvenile,unknown,19S,11E,8,Apex
4/25/2016,Rana pretiosa,3,egg mass,unknown,21S,10E,10,Breeding
4/26/2016,Rana pretiosa,12,adult,female,19S,11E,8,Apex
4/26/2016,Rana pretiosa,11,adult,male,19S,11E,8,Apex
